Angle (deg),Distance (ft)
-45,NA
-44,NA
-43,368.2
-42,313.9
-41,338.9
-40,339.8
-39,340.4
-38,339.8
-37,339.8
-36,340.1
-35,340.9
-34,342.1
-33,342.6
-32,343.5
-31,344.9
-30,344.6
-29,345.8
-28,346.9
-27,347.7
-26,350.6
-25,351.7
-24,353.7
-23,355.4
-22,357.7
-21,359.4
-20,360.8
-19,364.0
-18,366.2
-17,368.8
-16,371.6
-15,375.0
-14,378.5
-13,381.3
-12,384.7
-11,386.4
-10,385.6
-9,384.4
-8,383.3
-7,382.4
-6,382.4
-5,381.3
-4,381.0
-3,381.0
-2,380.5
-1,380.7
0,380.5
1,381.6
2,381.3
3,382.4
4,382.7
5,382.7
6,383.9
7,384.1
8,385.6
9,387.0
10,387.8
11,389.3
12,390.7
13,392.4
14,394.1
15,396.4
16,399.5
17,401.2
18,400.6
19,402.9
20,394.4
21,387.3
22,380.2
23,375.0
24,367.7
25,362.2
26,356.8
27,357.1
28,356.8
29,352.6
30,347.5
31,342.9
32,338.4
33,333.8
34,330.4
35,326.7
36,323.0
37,319.9
38,316.5
39,313.3
40,310.5
41,307.9
42,305.7
43,NA
44,NA
45,NA
